temperature_2_m_above_gnd,relative_humidity_2_m_above_gnd,mean_sea_level_pressure_MSL,total_precipitation_sfc,total_cloud_cover_sfc,shortwave_radiation_backwards_sfc,wind_speed_10_m_above_gnd,angle_of_incidence,zenith,generated_power_kw
-3.49,92,1013.1,0,100,0,30.06,88.480866,87.476735,368.43005
-2.5,91,1013,0,100,30.26,34.59,73.72891,76.422767,1005.7376
-1.38,82,1013.2,0,100,174.44,38.94,58.830151,65.481795,1120.8914
-0.2,76,1013.2,0,10,193.13,42.06,43.961345,55.350563,1637.6355
0.81,67,1012,0,48,247.42,44.92,29.208303,46.789744,2142.2057
1.58,63,1011.8,0,49,283.91,46.2,15.001054,40.935407,1305.8351
2.88,61,1012.6,0,20,425.42,53.1,7.5422315,39.074226,1723.1202
3.35,59,1012.3,0,45,381.81,51.02,17.608201,41.746346,1995.2404
3.76,57,1012.4,0,100,378.25,53.53,32.018569,48.19625,1689.6365
3.92,55,1012.2,0,10,354.22,54.67,46.806198,57.113496,997.45909
4.03,55,1012.2,0,35,280.35,55.29,61.685696,67.432051,507.43333
3.76,57,1012.6,0,10,226.06,54.94,73.607072,76.20719,27.297123
-1.34,78,1021.9,0,97,0,26.67,100.73023,96.624852,6.5301802
-0.66,73,1022.2,0,100,0,29.35,88.441247,87.170996,121.87213
-0.21,75,1022.8,0,100,21.36,31.45,73.690026,76.107259,450.78138
0.6,82,1023.2,0.1,100,131.72,31.45,58.798652,65.152482,871.6075
2.25,80,1023.5,0.1,100,222.5,31.26,43.944261,54.999726,875.37472
4.32,72,1022.5,0,100,364.01,36.45,29.22186,46.412244,960.74139
5.37,74,1021.8,0.1,100,420.97,38.45,15.111784,40.538379,813.86954
5.98,85,1019.9,0.4,100,170.88,24.49,7.8841805,38.685736,531.99432
9.11,78,1018.9,0.1,100,341.76,29.81,17.826312,41.400033,270.46316
11.17,72,1018.5,0,100,639.91,31.67,32.171913,47.903901,326.12917
12.26,69,1017.6,0,100,566.04,32.06,46.935239,56.866152,140.42278
12.29,71,1018.4,0,100,509.97,31.85,61.802405,67.214717,370.65444
10.59,82,1019.1,0,100,185.12,26.37,72.47701,75.072788,5.9262821
4.55,96,1027.9,0,0,0,21.27,61.209215,66.557956,1.7159452
4.34,96,1028.4,0,0,0,20.47,61.209215,66.557956,87.292352
5.36,94,1029.2,0,0,42.72,21.27,61.209215,66.557956,290.58443
6.92,89,1029.1,0,0,221.61,25.12,57.926698,64.208287,665.51778
8.8,80,1029.1,0,0,405.84,27.79,43.929888,54.649923,492.76944
10.35,72,1028.6,0,0,565.15,30.06,29.240247,46.035749,140.00306
4.75,96,1031.3,0,5,0,4.1,102.11023,97.085764,4.7921769
5.35,90,1030.3,0,0,0,3.96,88.368477,86.570528,414.80171
6.94,81,1030.2,0,0,48.06,3.6,73.61409,75.478231,1245.102
11.3,71,1028.9,0,0,234.07,4.39,58.740219,64.496629,1936.7731
15.27,58,1028.3,0,0,421.86,12.1,43.918275,54.301146,2405.682
16.92,48,1027,0,0,583.84,14.49,29.263435,45.66013,2798.8026
17.88,45,1027.2,0,0,708.44,16.39,15.360568,39.746773,2857.0071
18.08,38,1028.1,0,2.4,772.52,12.43,8.5794352,37.911809,2842.0558
19.17,36,1027.4,0,0,801.89,13.8,18.279591,40.712152,2597.9899
19.64,34,1027.1,0,0,773.41,15.95,32.489543,47.32489,2171.1956
19.41,34,1026.5,0,0,688.86,18.72,47.200062,56.376798,1499.2858
18.85,36,1025.9,0,0,559.81,20.15,62.039719,66.784322,594.12119
17.84,39,1025.8,0,0,392.49,20.7,73.941703,75.601527,35.945833
4.45,93,1030.2,0,8,0,9,102.04937,96.750425,4.4904762
4.2,99,1030.6,0,0,0,6.7,88.334822,86.275116,387.12615
5.75,84,1030.5,0,3,57.85,5,73.577204,75.164996,897.60474
9.04,66,1029.4,0,0,244.75,9.72,58.713429,64.170369,1004.3757
11.34,55,1029.7,0,1.2,432.54,12.24,43.909492,53.953686,2034.4893
13.38,46,1027.9,0,7.8,593.63,15.84,29.291491,45.28579,2763.0826
14.8,45,1027.5,0,23.4,698.65,18.03,15.497985,39.352442,2228.0774
15.94,39,1026.9,0,4,788.54,17.37,8.9316005,37.526581,2186.9103
16.96,35,1026.3,0,0.6,822.36,16.26,18.513941,40.370749,2516.2902
17.62,32,1026.1,0,30,776.97,16.66,32.56077,46.985523,1070.2377
17.82,32,1025.7,0,100,626.56,17.87,47.335557,56.134837,1179.3527
17.89,32,1025.3,0,82,547.35,17.56,62.191587,66.594665,477.62872
17.18,35,1025.2,0,19,380.92,18.12,73.806538,75.214798,22.832843
7.21,67,1029.4,0,0,0,4.68,101.47094,96.024236,23.744074
6.97,65,1029.2,0,0,0,5.51,88.218507,85.919812,294.45087
8.92,61,1029.8,0,0,54.29,6.3,73.541152,74.852805,945.63214
13.04,52,1029.1,0,0,240.3,10.3,58.688353,63.845406,1655.5333
15.7,36,1028.8,0,0,426.31,14.88,43.90359,53.607631,2460.5933
16.93,33,1028.9,0,0,585.62,17.07,29.225559,44.86215,2745.8985
17.81,32,1028.7,0,0,709.33,16.07,15.643641,38.959247,2885.0596
18.74,24,1028.1,0,0,786.76,20.78,9.2860828,37.142637,2820.1377
19.65,24,1027.8,0,0,806.34,19.73,18.752897,40.031133,2570.0332
20.22,25,1027.9,0,1.8,763.62,18.45,32.82045,46.753794,2119.1084
20.46,26,1027.1,0,0.9,679.96,17.78,47.472912,55.894709,1463.5934
20.33,28,1026.7,0,0.6,558.03,16.9,62.28141,66.359666,632.30069
19.63,31,1026.8,0,0,393.38,15.68,74.662793,75.57753,25.66378
7.6,57,1030.1,0,0,0,6.49,102.66677,96.63898,7.4369697
7.15,52,1030.2,0,0,0,6.38,88.269994,85.689773,414.33761
7.99,50,1031.2,0,0,62.3,6.52,73.506017,74.541801,1242.1246
11.56,42,1031.1,0,0,259.88,7.7,58.665062,63.52188,1977.6512
14.45,24,1030.8,0,0,453.01,12.37,43.900624,53.263122,2467.4836
15.51,24,1030.7,0,0,615.88,17.31,29.36219,44.541213,2676.6376
16.63,28,1030,0,0,737.81,19.65,15.797199,38.567306,2951.6153
19,31,1028.1,0,0,804.56,17.11,9.6424268,36.76007,2840.5825
19.81,30,1027.2,0,8.1,821.47,16.6,18.996071,39.693375,2529.9274
20.36,32,1026.9,0,0.6,784.98,15.89,32.990376,46.471318,2189.2986
20.49,33,1026.6,0,0,705.77,17.65,47.611977,55.656428,1516.5812
20.12,33,1026.4,0,0,574.05,18.51,62.403582,66.149493,663.24186
19.13,34,1026,0,0,404.95,18.51,74.899587,75.473929,24.531707
3.05,94,1032.2,0,100,0,5.48,102.85315,96.493611,11.032749
2.52,94,1033,0,100,0,6.49,88.237683,85.39826,447.66534
3.19,89,1033.5,0,100,58.74,7.24,73.471883,74.232126,1290.326
5.87,75,1032.3,0,3,258.1,10.83,58.643626,63.19993,2020.3884
8.21,65,1032,0,0,447.67,14.33,43.900644,52.920297,2535.9097
10.76,53,1030.5,0,0,606.98,16.87,29.404832,44.171245,2860.7291
12.97,44,1029.7,0,0,728.91,18.58,15.958318,38.176735,2964.7868
14.56,39,1029.6,0,0,808.12,20.09,10.000219,36.378975,2882.3406
15.49,35,1028.6,0,0,831.26,20.02,19.243085,39.357542,2645.7264
16.16,32,1028.2,0,0,799.22,18.95,33.163009,46.190938,2190.4372
16.48,30,1027.5,0,0,712,18.44,47.752598,55.420004,1483.3401
16.17,29,1027.1,0,0,582.06,19.08,62.526467,65.940752,637.58692
15.08,32,1027,0,4.8,412.96,19.17,75.383718,75.559098,20.239352
3.3,34,1029.4,0,0,0,6.92,102.92297,96.26251,22.50977
3.23,29,1028.6,0,0,0,7.2,88.20501,85.106924,453.44921
5.21,28,1028.9,0,0,70.31,7.15,73.438833,73.92392,1267.1514
9.59,31,1027.2,0,0,265.22,2.74,58.624113,62.879696,1930.9045
13.12,26,1026.5,0,0.9,455.68,4.61,43.903697,52.579297,2486.0261
15.49,23,1024.9,0,3.9,615.88,10.44,29.452322,43.803003,2776.8061
16.75,26,1024.5,0,4.5,734.25,13.61,16.044646,37.757563,2859.7307
18.1,22,1024.4,0,5.4,817.02,8.89,10.359084,35.999442,2822.1077
18.58,24,1023.2,0,30,799.22,11.79,19.493573,39.0237,2550.4818
19.15,25,1023.3,0,0,777.86,12.68,33.338144,45.912688,1991.6871
19.28,26,1022.7,0,0,713.78,13.28,47.894623,55.185446,1376.3088
18.89,27,1022,0,0.9,583.84,13.39,62.649936,65.733438,473.10799
18.07,30,1021.9,0,1.5,419.19,14.26,74.858462,74.879483,29.267865
7.54,48,1021.6,0,100,0,13.98,102.47029,95.640522,18.433939
7.67,43,1021.4,0,59,0,14.26,88.171901,84.815675,463.9205
10.39,36,1021.3,0,100,73.87,14.42,73.406949,73.617326,1012.4864
13.89,25,1020.1,0,100,260.77,15.63,58.606589,62.561315,1580.3163
16.16,24,1019.9,0,100,422.75,15.48,43.909826,52.240261,1852.0908
17.65,25,1018.7,0,100,532.22,14.69,29.504642,43.436623,1877.7974
18.98,22,1017.8,0,100,631.01,14.59,16.301878,37.400172,2126.2377
19.49,29,1018.1,0,100,636.35,4.39,10.718677,35.621563,2445.8871
19.72,30,1017.2,0,100,583.84,9.01,19.747179,38.69191,2303.6675
19.46,29,1017.2,0,100,484.16,11.57,33.515572,45.636599,1779.6742
19.45,24,1016.8,0,100,406.73,12.6,48.037897,54.952757,684.29286
19.96,23,1015.7,0,71,489.5,14.87,62.773857,65.527545,97.36077
19.13,22,1015.5,0,41,414.74,14.06,74.497482,74.32506,6.387619
-0.48,88,1019.8,0,2,0,8.09,103.04462,95.793915,18.831473
0.14,93,1019.5,0,100,0,9.78,88.138414,84.524609,463.50612
0.72,88,1020.6,0,100,69.42,10.46,73.37631,73.312482,1302.6158
2.74,73,1019.6,0,37,271.45,11.37,58.591118,62.244925,2005.9706
5.32,58,1018,0,0,468.14,13.44,43.91907,51.903327,2487.1641
7.92,47,1016.6,0,0,630.12,16.12,29.561765,43.072238,2818.3444
10.26,39,1014.8,0,0,754.72,17.67,16.483638,37.01441,2940.5742
16.12,38,1012.9,0,0,813.46,14.02,11.07868,35.245425,2852.2145
16.84,36,1012.4,0,0,833.93,15.78,20.003558,38.362234,2607.0379
17.18,35,1011.7,0,0,800.11,16.56,33.689453,45.360719,2159.4315
17.21,34,1011.4,0,0,712.89,15.53,48.182265,54.721943,1475.6098
16.98,32,1011.6,0,0,582.95,15.78,62.898102,65.323063,643.55761
16.18,32,1011.4,0,0,414.74,15.53,75.845126,75.071154,18.146392
4.11,74,1013.6,0,0,0,7.93,103.10521,95.562755,21.656557
3.87,72,1013.4,0,0,0,7.99,88.104685,84.233927,487.58154
6.13,63,1013.3,0,0,83.66,6.64,73.346996,73.009527,1301.0222
10.44,53,1011.7,0,0,281.24,1.48,58.577762,61.930665,1993.0516
13.61,42,1011,0,0,469.92,5.12,43.931465,51.568635,2511.6848
15.53,35,1010.3,0,0,630.12,9.39,29.623656,42.709983,2823.7859
16.77,34,1009.8,0,0,752.94,12.4,16.671602,36.630484,2927.9754
17.76,35,1010.4,0,0,825.03,14.76,11.438801,34.871118,2874.1014
18.04,33,1010,0,0,844.61,14.47,20.262375,38.034728,2604.5209
18.42,30,1009.8,0,0,807.23,14.44,33.876482,45.091008,2186.9598
18.32,30,1009.5,0,0,718.23,13.34,48.327573,54.493003,1532.9348
18.04,29,1009.1,0,0,589.18,11.57,63.022538,65.119981,677.14549
17.3,31,1009.1,0,0,420.08,10.74,75.833769,74.785183,18.997783
4.67,94,1015.7,0,100,0,27.45,103.04437,95.242423,61.526763
3.92,95,1016.6,0,79,0,28.31,88.070884,83.943881,291.58536
5.59,85,1017,0,34,90.78,28.41,73.319083,72.708599,1198.7506
7.46,77,1016.4,0,42,283.91,28.11,58.566579,61.61867,2067.6887
9.38,70,1016.9,0,37,459.24,27.26,43.947042,51.23632,2582.9049
11.55,63,1015.9,0,100,598.08,26.9,29.686613,42.348263,2710.3849
13.28,57,1015.2,0,92,699.54,27.32,16.76611,36.207826,2954.9119
15.38,49,1014.9,0,33,796.55,25.96,11.798769,34.498726,2775.9501
16.27,45,1014.7,0,100,777.86,25.28,20.523308,37.709449,2568.1236
16.76,45,1014.9,0,100,720.01,23.8,34.059551,44.821554,2059.5733
16.9,46,1014.4,0,100,640.8,21.66,48.473664,54.265935,1422.7079
16.8,47,1014.7,0,86,514.42,18.86,63.147037,64.918289,519.10854
16.23,45,1015.6,0,34,387.15,17.56,75.822115,74.500084,23.134496
3.69,72,1024,0,31,0,23.83,102.98459,94.925056,33.632208
2.77,76,1024.8,0,14,0,22.39,88.037192,83.65474,467.36701
5.08,70,1024.7,0,0,80.99,25.76,73.292647,72.409835,1310.2292
6.46,66,1024.1,0,6.3,290.14,28.66,58.557627,61.309076,2029.8187
7.97,55,1024.6,0,4.8,476.15,29.52,43.965829,50.90652,2429.3202
9.52,49,1023.9,0,1.5,632.79,28.8,29.761573,41.992395,2860.7503
11.19,41,1022.8,0,4.5,756.5,28.66,17.06481,35.868594,2962.5103
13.9,35,1021.6,0,0,827.7,28.16,12.158329,34.128335,2949.8447
14.6,35,1021.5,0,0,857.07,29.46,20.786043,37.386449,2717.1814
15.21,30,1021.1,0,0,820.58,30.17,34.244087,44.554355,2269.9887
15.3,26,1020.6,0,0,735.14,30.6,48.620384,54.040738,1544.4435
14.96,28,1020.8,0,0,603.42,31.26,63.271466,64.717972,640.28904
14.06,31,1021.5,0,0,432.54,30.95,76.056338,74.404093,39.576705
0.49,87,1028.5,0,6,0,41.56,102.71848,94.453368,34.521546
0.6,89,1028.4,0,22,0,42.01,88.003783,83.366764,470.38138
2.18,81,1028.4,0,25,96.12,44.07,73.26776,72.113368,1204.6823
3.86,69,1027.6,0,13,288.36,45.32,58.550958,61.002016,2088.991
6.09,51,1026.6,0,0,455.68,45.66,43.987846,50.579372,2684.0389
6.66,43,1025.8,0,100,576.72,44.36,29.837493,41.63733,2613.1881
7.66,42,1024.7,0,71,276.79,39.5,17.269399,35.490859,1153.9587
11.09,41,1023.5,0,100,813.46,39.4,12.517244,33.76003,631.14707
12.05,36,1023,0,100,675.51,37.04,21.050278,37.065781,335.64778
11.69,36,1022.3,0,100,455.68,33.43,34.429888,44.289428,128.5947
12.69,34,1021.5,0,100,415.63,35.31,48.767577,53.817406,60.467734
12.3,38,1021,0,100,325.74,33.5,63.395698,64.51902,15.597349
2.71,64,1026.1,0,100,0,36.06,101.08204,92.941944,4.6546099
1.93,83,1026.6,2.2,100,0,32.27,87.970827,83.080206,43.979559
2.42,88,1027.1,3.2,100,18.69,27.07,73.244494,71.819333,119.72227
2.89,88,1026.6,1.1,100,52.51,28.91,58.546622,60.697624,188.40683
2.95,86,1026.8,0.7,100,101.46,29.12,44.013111,50.255011,217.60286
3.37,84,1026.8,0.7,100,130.83,28.73,29.91797,41.284927,570.19271
3.77,82,1026.2,0.1,100,280.35,28.2,17.478879,35.115418,870.88454
4.86,82,1025.5,1.9,100,231.4,23.23,12.875291,33.393895,526.54606
3.39,88,1025.4,1.6,100,68.53,19.47,21.31572,36.747496,651.51471
7.57,74,1023.2,0.2,100,504.63,24.99,34.616752,44.026793,351.27395
8.68,72,1022.3,0,100,607.87,30.3,48.915091,53.595937,179.46546
8.59,75,1022.2,0,40,555.36,30.1,63.519606,64.321418,6.5775
8.97,73,1022.1,0,100,421.86,27.72,75.169865,73.17902,42.4
2.9,96,1024.8,0,100,0,19.2,86.476751,81.689692,12.066319
4.74,86,1024.8,0,79,102.35,19.16,73.222911,71.52786,364.30887
7.01,78,1024.6,0,35,294.59,17.34,58.544661,60.396031,536.06592
9.49,69,1023.3,0,9,477.93,12.68,44.041632,49.933569,1241.4112
10.62,65,1022.3,0,10,559.81,7.7,30.002931,40.93532,1485.0609
11.39,60,1021.8,0,100,341.76,6.83,17.692931,34.742385,1331.9139
4.36,98,1024.6,0,100,0.89,6.95,87.906873,82.512266,5.07
7.81,83,1024.9,0,100,81.88,7.29,73.203074,71.239078,236.61444
10.06,70,1023.4,0,100,299.93,14.26,58.545114,60.097365,858.94361
11.74,61,1023.3,0,100,446.78,16.87,44.073411,49.61518,1690.9292
13.15,55,1022.9,0,58,574.94,14.2,30.092292,40.588639,2019.1516
12.58,55,1022.3,0,100,285.69,12.68,17.860486,34.350699,2260.9511
14.71,50,1023.2,0,100,686.19,13.78,13.603499,32.673605,2281.3451
15.45,48,1022.6,0,100,589.18,15.27,21.84911,36.118277,1542.6034
16.01,46,1022.1,0,100,736.03,16.2,34.992885,43.508465,1942.3521
15.17,47,1021.8,0,100,470.81,15.46,49.210486,53.158572,1141.0547
15.95,44,1021.5,0,10,399.61,14.46,63.765953,63.93023,379.04449
15.44,44,1021.2,0,10,354.22,14,78.454727,75.160374,337.71405
14.51,47,1021.6,0,10,230.51,13.24,91.057028,84.776961,103.1469
4.31,89,1026.7,0,0,0.89,15.27,87.876141,82.231306,65.960544
8.81,78,1025.6,0,5,113.03,18.53,73.185034,70.953113,497.70948
11.21,69,1024.9,0,10,302.6,23.11,58.548009,59.801752,1161.8054
12.17,57,1025,0,0,473.48,26.16,44.108441,49.299971,1907.7325
13.69,43,1024.6,0,0,647.92,27,30.185958,40.245016,2411.2403
15.14,45,1023.3,0,0,765.4,26.16,18.133489,34.004005,2834.7809
16.18,41,1023.6,0,0,835.71,24.41,13.942157,32.30935,2716.8042
17.06,39,1023.5,0,0,852.62,24.66,22.116527,35.807448,1899.5985
17.38,38,1022.7,0,10,808.12,25.26,35.181773,43.252812,2207.8757
17.45,37,1022.4,0,10,687.08,26.14,49.358078,52.942677,1833.8297
17.44,35,1021.9,0,10,561.59,25.21,63.795143,63.66581,509.58389
16.93,35,1022.3,0,10,405.84,25.26,78.559075,74.975253,265.89114
15.61,38,1022.1,0,0,231.4,23.51,91.871898,85.128604,101.28682
6.59,58,1026.6,0,0,1.78,22.55,87.846391,81.952609,82.4125
10.33,47,1026.4,0,0,118.37,23.04,73.168839,70.670084,510.08038
13.25,38,1025.2,0,27,317.73,25.96,58.55337,59.509312,1281.1426
15.2,33,1024.8,0,37,496.62,28.17,44.146705,48.98807,1931.8267
16.91,30,1024.1,0,26,640.8,29.53,30.283825,39.904579,2459.8269
18,29,1023.6,0,3,752.94,30.55,18.359366,33.638888,2618.7294
17.49,34,1023.1,0,0,836.6,36.69,14.294713,31.952743,2822.9876
18.33,33,1022.2,0,0,854.4,36.93,22.38409,35.499211,2824.6611
18.34,33,1022.4,0,0,820.58,38.17,35.370963,42.99953,2560.4028
18.1,34,1021.7,0,0,735.14,36.49,49.505415,52.728647,2090.5022
17.96,37,1021.6,0,0,606.09,34.83,64.009565,63.544365,1385.971
17.5,39,1021.8,0,0,436.99,34.65,78.66212,74.790998,553.73389
16.32,43,1021.5,0,0,247.42,32.86,92.2177,85.133381,51.609477
8.57,40,1023.6,0,100,2.67,32.7,87.817721,81.676349,116.7187
10.28,37,1023.3,0,100,114.81,34.27,73.082078,70.334151,396.93777
12.2,33,1022.7,0,100,297.26,36.32,58.604367,59.25298,552.3861
14.07,30,1022.3,0,100,465.47,38.05,44.188175,48.679598,844.356
15.59,28,1021.2,0,100,629.23,39.93,30.385775,39.567453,872.93688
16.79,29,1020,0,100,720.9,40.6,18.588562,33.276641,508.06137
16.75,34,1020,0,100,584.73,36.39,14.645435,31.598734,401.01774
18.29,31,1018.4,0,100,503.74,37.29,22.651561,35.193622,418.90865
19.29,31,1017,0,100,503.74,39.93,35.560279,42.748644,741.30156
19.91,32,1016.2,0,100,485.94,40.79,49.652368,52.516489,992.71974
19.91,34,1015.6,0,40,520.65,41.05,64.130075,63.353433,987.39323
19.45,35,1015.1,0,30,414.74,39.78,78.763779,74.607618,330.06728
18.07,39,1014.8,0,30,249.2,37.55,92.652938,85.206455,101.43341
6.69,75,1017.2,0,100,0.89,10.03,87.790216,81.402687,5.8469444
10.03,66,1016.8,0,100,83.66,15.55,73.142127,70.113297,107.88273
10.12,46,1015.8,0,100,186.01,19.48,58.571531,58.934417,291.55472
11.04,39,1016.6,0,80,345.32,32.68,44.232816,48.374674,208.4094
11.88,39,1016.2,0,100,403.17,27.06,30.491682,39.233763,260.75373
10.17,54,1015.2,0,100,348.88,28.66,18.820769,32.917377,671.30361
15.89,34,1014.9,0,0,841.05,14.8,14.994155,31.247413,1111.4178
7.09,93,1013.4,0,100,0,2.31,102.36899,92.109203,135.24753
7.2,94,1013.6,0,100,0.89,6.62,87.763948,81.13177,362.05992
7.74,91,1014.3,0.3,100,36.49,6.11,73.131664,69.839756,683.3875
9.34,82,1013.8,0.7,53,145.96,8.31,58.584332,58.652181,559.78722
10.1,72,1014.2,0.6,65,204.7,15.48,44.280582,48.07341,436.62698
9.73,76,1014.4,0.5,100,229.62,17.02,30.601412,38.903628,397.92333
11.6,67,1013.9,0,100,342.65,18.67,19.055684,32.561209,254.48179
11.56,70,1015.3,0.1,100,301.71,11.75,15.34071,30.898867,333.55261
11.69,69,1015.5,0,100,318.62,13.55,23.185327,34.590618,2011.6776
13.27,62,1015.5,0.2,10,314.17,14.69,35.938618,42.254172,643.33075
12.52,62,1014.7,0.3,100,300.82,15.6,49.944621,52.097842,270.26056
12.32,62,1015.2,0.1,23,199.36,16.78,64.36801,62.975614,54.054428
12.35,62,1015.5,0,15,142.4,16.42,74.449637,70.75336,0.85942029
6,95,1018.5,0,100,0,4.61,102.32057,91.82282,24.036111
5.2,98,1019.1,0,0,5.34,4.07,87.738979,80.863737,372.01633
7.46,91,1018.6,0,100,124.6,2.88,73.123154,69.569586,673.71194
10.17,80,1017.9,0,10,308.83,4.33,58.599601,58.373557,424.6357
12.07,70,1018,0,10,485.05,5.35,44.331419,47.775915,2034.7373
13.27,63,1016.6,0,23,591.85,5.77,30.714819,38.577165,1796.2694
15.34,54,1015.8,0,100,654.15,6.13,19.293009,32.208247,1966.31
14.86,52,1016.4,0,100,563.37,4.38,15.684947,30.553182,498.52909
15.63,49,1015.6,0,100,582.06,4.02,23.451198,34.293318,772.99624
15.75,49,1015.3,0,100,536.67,2.19,36.127262,42.010613,933.39628
15.89,47,1014.4,0,100,451.23,0.8,50.089699,51.891405,177.06391
15.18,50,1013.9,0,100,248.31,4.1,64.485262,62.788763,81.685446
5.42,80,1013.9,0,100,0,4.39,102.27352,91.539946,56.527778
5.58,79,1013.4,0,100,5.34,5.48,87.715363,80.598714,460.13803
7.9,72,1012.9,0,0,142.4,6.13,73.116608,69.302881,1218.4761
10.74,61,1011.2,0,0,334.64,15.27,58.617321,58.098643,2019.5456
11.97,50,1010.9,0,10,492.17,15.62,44.385268,47.482296,2026.7763
11.02,54,1011.1,0,100,334.64,14.2,30.831759,38.254492,1455.0139
11.12,49,1011,0,100,324.85,9.39,19.532471,31.85861,1584.8421
11.1,55,1013.2,0,31,338.2,11.97,16.026745,30.210459,1259.9978
11.58,50,1013.1,0,45,351.55,10.31,23.716137,33.998905,1840.981
12.93,45,1013,0,10,509.97,11.16,36.315511,41.769634,1291.5045
12.91,43,1012.4,0,10,525.1,10.9,50.233904,51.686857,671.48744
11.95,42,1012.4,0,56,251.87,11.21,64.601247,62.603285,301.05447
10.83,50,1012.7,0.2,100,158.42,21.89,78.978515,73.745697,0.014465409
2.79,85,1018.7,0,100,0,12.68,102.1013,91.164884,27.524294
2.58,85,1018.7,0,100,7.12,10.7,87.693146,80.336824,219.09665
3.41,82,1019.2,0,100,111.25,10.97,73.112032,69.039734,453.2504
4.4,79,1018.8,0,100,258.1,11.61,58.63747,57.827528,774.27258
5.76,74,1018.9,0,100,411.18,11.5,44.442059,47.192647,1534.3463
7.56,67,1017.5,0,100,633.68,10.95,30.952068,37.935707,2567.4989
9.67,59,1016.3,0,2,788.54,13.08,19.773747,31.512384,2920.693
12.49,49,1015.1,0,100,827.7,10.44,16.365904,29.870756,2921.894
13.57,46,1014.7,0,100,782.31,10.81,23.979932,33.707416,2650.575
14.22,42,1015.3,0,100,698.65,11.97,36.503035,41.531161,2108.7831
14.28,40,1014.3,0,100,599.86,12.22,50.377157,51.484279,1498.6501
14.38,38,1014,0,100,511.75,12.41,64.715898,62.419221,662.05833
14.16,41,1014.7,0,100,405.84,12.41,79.127175,73.610374,33.6341
13.69,48,1019,0,10,652.37,23.78,29.423067,35.744468,2581.0272
15.44,47,1018.2,0,10,776.08,20.63,20.506021,30.495441,2782.8494
14.45,55,1019.8,0,100,316.84,8.35,17.366632,28.870849,2626.1294
13.83,58,1019.9,0,100,194.91,8.4,24.762787,32.8512,1800.1336
13.68,58,1020,0,100,199.36,4.68,37.0602,40.831326,706.18708
13.97,56,1020,0,100,289.25,5.09,50.800104,50.888439,844.50941
13.86,55,1019.8,0,100,260.77,6.85,65.051047,61.875664,407.97437
13.6,55,1020.3,0,77,195.8,9.72,79.518901,73.174558,33.350815
4.01,93,1022.8,0,45,0,8.12,102.05882,90.179612,79.005278
4.6,94,1022.2,0,51,16.02,8.91,87.619049,79.322816,573.94442
8.64,76,1021.2,0,100,169.1,6.95,73.113452,68.024499,1291.7967
11.92,63,1020.4,0,100,332.86,5.9,58.741794,56.782885,1697.3794
14.08,48,1019.5,0,100,484.16,3.98,44.697202,46.075742,2295.5119
15.79,38,1018.8,0,100,600.75,4.1,31.463831,36.701697,2689.6781
17.17,34,1018.1,0,100,705.77,2.6,20.751739,30.163858,2518.3639
18.36,37,1016.7,0,100,720.01,1.94,17.693692,28.543986,2813.4818
19.28,35,1016.5,0,100,708.44,4.35,25.020113,32.571886,2406.676
20.16,33,1016.2,0,36,804.56,5.63,37.243583,40.603242,1982.0331
20.39,32,1014.9,0,35,742.26,7.24,50.938442,50.693802,1384.8917
20.3,32,1014.8,0,0.3,623,8.37,65.159557,61.697399,595.7528
19.7,34,1014.8,0,0,461.02,8.77,79.605528,73.000359,36.930556
11.16,47,1015,0,100,0,6.13,112.99639,98.079817,10.2
11.01,48,1015.1,0,100,0,6.52,102.02025,89.918907,112.79444
11.24,53,1014.6,0,100,10.68,7.59,87.604392,79.078225,489.34417
12.94,50,1014.6,0,100,100.57,6.21,73.118744,67.780468,924.04183
14.93,42,1014.1,0,100,205.59,7.24,58.773664,56.532131,794.80667
16.34,42,1014.3,0,100,287.47,10.44,44.767618,45.807443,890.54361
16.73,48,1013.7,0,100,308.83,14.28,31.598637,36.40407,828.69566
16.92,45,1013.6,0,100,321.29,20.17,20.998307,29.836459,1319.9406
16.51,38,1013.8,0,100,251.87,20,18.018005,28.220843,672.48232
16.98,40,1013.2,0,100,314.17,25.87,25.27562,32.295946,478.04333
16.6,41,1013.2,0,100,329.3,25.12,37.425636,40.377913,438.2545
16.04,41,1012.4,0,100,231.4,22.1,51.075308,50.501225,415.7237
16.11,41,1012.6,0,100,237.63,21.39,65.266343,61.520635,183.96861
16.09,39,1012.6,0,100,235.85,23.11,78.602703,71.979897,30.434967
3.33,83,1016,0,1.5,0,8.79,113.31452,98.073329,1.5306452
3.16,82,1016.4,0,0.6,0,10.19,101.98323,89.662183,168.05958
3.95,81,1016.5,0,9.6,19.58,10.63,87.591353,78.837414,450.14311
7.69,70,1015.4,0,11.1,179.78,7.9,73.12601,67.540522,1244.7293
11.26,60,1014.2,0,100,346.21,6.62,58.807786,56.285707,1404.8224
13.46,54,1013.9,0,100,478.82,7.7,44.840521,45.543686,1145.4596
14.66,52,1012.9,0,100,535.78,9.02,31.735837,36.110963,1352.8692
14.82,52,1011.8,0,100,498.4,9.79,21.245101,29.513084,1398.5836
13.92,59,1013.8,0,100,225.17,6.29,18.338804,27.90118,413.93294
13.89,58,1013.2,0,100,243.86,3.32,25.528883,32.0232,390.68611
14.38,55,1012.8,0,100,335.53,5,37.606141,40.155243,433.4925
