temperature_2_m_above_gnd,relative_humidity_2_m_above_gnd,mean_sea_level_pressure_MSL,total_precipitation_sfc,total_cloud_cover_sfc,shortwave_radiation_backwards_sfc,wind_speed_10_m_above_gnd,angle_of_incidence,zenith,generated_power_kw
12.46,36,1038.8,0,0,384.48,3.4,18.108999,62.732777,2627.5657
14.32,27,1032.5,0,0,462.8,6.88,23.715326,64.47128,2554.7255
15.06,26,1034.2,0,0,487.72,7.1,34.919123,69.0196,2281.9892
14.87,26,1033.3,0,0,456.57,14.04,47.925942,75.853518,1107.7147
13.49,33,1034.9,0,0,374.69,9.03,61.372756,84.245064,130.56522
0.83,78,1035.4,0,0,0,7.59,59.576432,82.999117,33.746162
1.42,81,1034.2,0,76,2.67,7.07,46.031062,74.690298,335.80854
5.24,71,1033.7,0,43,113.03,6.99,33.140946,68.117352,2133.7886
7.68,68,1035,0,23,262.55,12.24,22.385128,63.923728,2506.0048
8.16,68,1033.3,0,2,375.58,15.28,17.952533,62.578322,2555.6055
8.66,67,1033.3,0,57,450.34,20.43,23.542523,64.301741,2361.4471
8.87,71,1034.2,0,34,468.14,18.89,34.769401,68.842473,2239.379
9.01,70,1033.6,0,1,441.44,12.68,47.798229,75.675693,1209.1943
9.08,69,1031.9,0,0,365.79,15.28,61.265693,84.074051,116.31498
-0.13,93,1036.2,0,0,0,15.23,59.64523,82.939972,503.15395
-0.2,94,1036.6,0,0,2.67,18.09,46.075248,74.60728,1400.0511
2.91,84,1036,0,0,107.69,19.08,33.146766,68.007658,2166.6904
5.95,73,1034.2,0,0,255.43,21.25,22.289876,63.776773,2542.4739
8.24,64,1032.7,0,0,374.69,20.28,17.800296,62.419861,2677.5709
10.28,44,1029.3,0,0,457.46,13.98,23.366081,64.125882,2607.0784
10.75,45,1029.1,0,0,480.6,16.74,34.618664,68.659827,2304.9839
10.63,44,1028.7,0,0,450.34,21.31,47.670941,75.493205,1244.6791
9.72,48,1029.1,0,0,371.13,22.1,61.159809,83.898968,135.79522
-0.97,67,1029.2,0,0,0,13.32,59.711404,82.874387,445.91228
-1.12,73,1030.2,0,0,2.67,14.51,46.116121,74.517462,1353.1714
2.55,63,1029,0,0,110.36,12.31,33.148459,67.890934,2127.6647
7.45,52,1026.1,0,0,260.77,12.56,22.219137,63.632764,2437.0792
10.78,38,1024.3,0,0,380.03,21.32,17.637551,62.253394,2568.2777
12.61,31,1023.7,0,0,453.01,22.31,23.18615,63.943789,2350.5334
12.67,32,1023.2,0,0,477.04,22.7,34.467074,68.471763,968.71618
12.57,34,1022.4,0,35,452.12,21.22,47.544217,75.306158,233.24195
12.09,37,1022.3,0,95,373.8,21.54,61.055217,83.719925,40.214319
3.69,97,1027.4,0.1,100,0,10.44,59.774919,82.802362,480.82352
3.03,98,1027.7,0.1,100,2.67,7.79,46.153679,74.420858,1400.3916
4.92,82,1027.1,0,100,108.58,5.8,33.14606,67.767205,2190.3046
5.93,76,1027.6,0,40,258.1,3.32,22.143084,63.481713,2537.5603
7.28,69,1026.3,0,47,381.81,2.6,17.466135,62.079493,2689.5167
9.45,65,1025.4,0,4,457.46,3.98,23.002835,63.755529,2590.2565
10.17,62,1024.3,0,29,412.07,2.55,34.314784,68.278362,2268.1099
10.88,58,1023.6,0,10,355.11,5.41,47.393687,75.101325,1249.0877
11.03,59,1022.8,0,100,284.8,5.62,60.952041,83.537027,143.9723
10.88,60,1022.6,0,83,225.17,7.07,106.69672,120.23022,16.101307
0.79,93,1020.6,0,1,0,20.18,59.83574,82.723909,491.01385
2.61,91,1019.1,0,8,3.56,23.22,46.187931,74.317509,589.7025
5.84,77,1018.4,0,36,121.04,30.49,33.139627,67.636531,1522.622
7.08,71,1017.3,0,0,268.78,30.92,22.061843,63.323701,690.96898
8.51,64,1015.3,0,13,386.26,30.57,17.288684,61.898913,291.16097
8.96,55,1015.2,0,100,389.82,28.4,22.816323,63.56121,177.40503
9.17,53,1013.9,0,100,395.16,29.27,34.161975,68.07974,156.05012
7,69,1013.6,0,100,186.9,29.39,47.29302,74.918788,123.7152
7.01,74,1013.3,0,100,107.69,28.66,60.736301,83.273945,17.422826
-2.16,94,1016.2,0,56,0,31.26,60.008276,82.715518,162.85673
-3.41,97,1016.9,0,3,3.56,23.34,46.218879,74.207441,1416.8051
-0.57,75,1017.2,0,0,118.37,24.93,33.129206,67.498954,1549.9781
